condition,persona_id,persona_consistency_mean,persona_consistency_sd,persona_consistency_median,persona_consistency_iqr,memory_retention_mean,memory_retention_sd,memory_retention_median,memory_retention_iqr,style_stability_mean,style_stability_sd,style_stability_median,style_stability_iqr,context_awareness_mean,context_awareness_sd,context_awareness_median,context_awareness_iqr,overall_score_mean,overall_score_sd,overall_score_median,overall_score_iqr,n,contradiction_rate,cr_wilson_lo,cr_wilson_hi
B0,P01,1.7167,1.2363,1.0,1.0,4.65,1.1173,5.0,0.0,2.0333,1.4138,1.0,2.0,2.2167,1.2226,2.0,0.0,2.6542,0.9689,2.25,0.5,60,0.8833,0.7782,0.9423
B0,P02,1.35,0.6594,1.0,1.0,4.7167,0.9583,5.0,0.0,1.3833,0.7386,1.0,1.0,1.5667,0.8102,1.0,1.0,2.2542,0.5609,2.0,0.75,60,0.9833,0.9114,0.9971
B0,P03,1.4833,0.9476,1.0,1.0,4.4333,1.3323,5.0,0.0,1.9,1.1305,2.0,1.0,1.6667,0.9328,1.5,1.0,2.3708,0.7695,2.25,0.75,60,0.9333,0.8407,0.9738
B0,P04,1.7833,1.2768,1.0,1.0,4.6167,1.1213,5.0,0.0,1.7833,1.2768,1.0,1.0,2.1667,1.3041,2.0,1.0,2.5875,0.9956,2.25,0.75,60,0.8833,0.7782,0.9423
B0,P05,1.5,0.813,1.0,1.0,4.5667,1.2125,5.0,0.0,1.6,0.9424,1.0,1.0,1.8667,0.853,2.0,1.0,2.3833,0.6693,2.25,0.75,60,0.9667,0.8864,0.9908
B0,P06,1.35,0.6594,1.0,1.0,4.5333,1.1712,5.0,0.0,1.35,0.6594,1.0,1.0,1.5167,0.7477,1.0,1.0,2.1875,0.5516,2.0,0.25,60,0.9833,0.9114,0.9971
C1,P01,4.5833,1.0299,5.0,0.0,5.0,0.0,5.0,0.0,4.5333,1.1712,5.0,0.0,4.5833,1.0299,5.0,0.0,4.675,0.8056,5.0,0.0,60,0.1333,0.0691,0.2417
C1,P02,3.85,1.4709,5.0,3.0,4.8667,0.7241,5.0,0.0,3.9167,1.3936,5.0,3.0,3.9667,1.3896,5.0,3.0,4.15,1.0787,5.0,2.0,60,0.4,0.2857,0.5263
C1,P03,4.2667,1.2738,5.0,1.0,4.8167,0.8129,5.0,0.0,4.3833,1.1945,5.0,1.0,4.3167,1.2554,5.0,1.0,4.4458,0.9808,5.0,0.75,60,0.2167,0.1312,0.3362
C1,P04,4.2833,1.2086,5.0,1.0,4.85,0.7324,5.0,0.0,4.4333,1.0949,5.0,1.0,4.35,1.1619,5.0,1.0,4.4792,0.8881,5.0,0.8125,60,0.2333,0.1444,0.3544
C1,P05,4.0333,1.4018,5.0,3.0,4.9333,0.5164,5.0,0.0,4.1167,1.4153,5.0,2.0,4.1667,1.3298,5.0,1.5,4.3125,1.0122,5.0,1.5625,60,0.3,0.199,0.4251
