condition,run_id,persona_consistency_mean,persona_consistency_sd,persona_consistency_median,persona_consistency_iqr,memory_retention_mean,memory_retention_sd,memory_retention_median,memory_retention_iqr,style_stability_mean,style_stability_sd,style_stability_median,style_stability_iqr,context_awareness_mean,context_awareness_sd,context_awareness_median,context_awareness_iqr,overall_score_mean,overall_score_sd,overall_score_median,overall_score_iqr,n,contradiction_rate,cr_wilson_lo,cr_wilson_hi
B0,1,1.6667,1.1327,1.0,1.0,4.325,1.4092,5.0,0.0,1.8583,1.2522,1.0,1.0,1.975,1.1556,2.0,1.0,2.4562,0.9318,2.25,0.75,120,0.9083,0.8433,0.948
B0,2,1.4167,0.8156,1.0,1.0,4.7583,0.8887,5.0,0.0,1.5833,0.9923,1.0,1.0,1.6917,0.8963,2.0,1.0,2.3625,0.6366,2.25,0.75,120,0.9667,0.9174,0.987
B0,3,1.5083,0.9348,1.0,1.0,4.675,1.0624,5.0,0.0,1.5833,0.9752,1.0,1.0,1.8333,1.0153,2.0,1.0,2.4,0.7652,2.25,0.75,120,0.9417,0.8845,0.9715
C1,1,4.125,1.357,5.0,3.0,4.8417,0.7669,5.0,0.0,4.1833,1.3283,5.0,1.0,4.2833,1.2514,5.0,1.0,4.3583,1.0051,5.0,1.5625,120,0.2833,0.2104,0.3697
C1,2,4.1417,1.324,5.0,2.25,4.9167,0.5279,5.0,0.0,4.2167,1.2911,5.0,1.25,4.2417,1.2636,5.0,1.0,4.3792,0.9652,5.0,1.5,120,0.2833,0.2104,0.3697
C1,3,4.2167,1.2714,5.0,1.0,4.8833,0.6375,5.0,0.0,4.275,1.27,5.0,1.0,4.275,1.2567,5.0,1.0,4.4125,0.9721,5.0,0.8125,120,0.25,0.1811,0.3344
C2,1,4.4,1.1552,5.0,0.0,4.9167,0.5279,5.0,0.0,4.4083,1.1339,5.0,1.0,4.45,1.1512,5.0,0.0,4.5438,0.8749,5.0,0.25,120,0.1917,0.1312,0.2712
C2,2,4.35,1.2206,5.0,0.25,4.9833,0.1286,5.0,0.0,4.3583,1.2216,5.0,0.25,4.4583,1.1515,5.0,0.0,4.5375,0.8773,5.0,0.3125,120,0.2083,0.1453,0.2895
C2,3,4.225,1.2864,5.0,1.0,4.9,0.6271,5.0,0.0,4.2417,1.3157,5.0,1.0,4.3083,1.2216,5.0,1.0,4.4188,0.9756,5.0,0.75,120,0.2333,0.1667,0.3166
C3,1,4.8083,0.7136,5.0,0.0,4.9,0.6271,5.0,0.0,4.875,0.5114,5.0,0.0,4.8083,0.7481,5.0,0.0,4.8479,0.5809,5.0,0.0,120,0.0583,0.0285,0.1155
C3,2,4.8667,0.6071,5.0,0.0,4.9583,0.3756,5.0,0.0,4.9,0.492,5.0,0.0,4.8583,0.652,5.0,0.0,4.8958,0.4681,5.0,0.0,120,0.0417,0.0179,0.0938
C3,3,4.7417,0.8934,5.0,0.0,4.9,0.6271,5.0,0.0,4.875,0.5585,5.0,0.0,4.775,0.8547,5.0,0.0,4.8229,0.6354,5.0,0.0,120,0.075,0.04,0.1364
C4,1,4.7167,0.8999,5.0,0.0,4.8,0.8754,5.0,0.0,4.8917,0.4453,5.0,0.0,4.7417,0.8351,5.0,0.0,4.7875,0.6687,5.0,0.0,120,0.0917,0.052,0.1567
C4,2,4.8083,0.781,5.0,0.0,4.9667,0.3651,5.0,0.0,4.8833,0.5052,5.0,0.0,4.8083,0.7481,5.0,0.0,4.8667,0.5205,5.0,0.0,120,0.0583,0.0285,0.1155
C4,3,4.7917,0.7206,5.0,0.0,4.9083,0.5797,5.0,0.0,4.85,0.5891,5.0,0.0,4.7833,0.7355,5.0,0.0,4.8333,0.5828,5.0,0.0,120,0.0583,0.0285,0.1155
