condition,global_turn_id,persona_consistency_mean,persona_consistency_sd,persona_consistency_median,persona_consistency_iqr,memory_retention_mean,memory_retention_sd,memory_retention_median,memory_retention_iqr,style_stability_mean,style_stability_sd,style_stability_median,style_stability_iqr,context_awareness_mean,context_awareness_sd,context_awareness_median,context_awareness_iqr,overall_score_mean,overall_score_sd,overall_score_median,overall_score_iqr,n,contradiction_rate,cr_wilson_lo,cr_wilson_hi
B0,1,1.5556,0.8556,1.0,1.0,4.5556,1.149,5.0,0.0,1.7222,0.8948,1.5,1.0,2.0,1.1376,2.0,1.0,2.4583,0.7339,2.25,0.9375,18,0.8889,0.672,0.969
B0,2,1.3333,0.5941,1.0,0.75,4.4444,1.2935,5.0,0.0,1.5556,0.6157,1.5,1.0,1.5,0.5145,1.5,1.0,2.2083,0.4558,2.25,0.5,18,1.0,0.8241,1.0
B0,3,1.3333,0.4851,1.0,1.0,4.6111,1.1448,5.0,0.0,1.7778,1.0033,1.5,1.0,1.6667,0.4851,2.0,1.0,2.3472,0.4035,2.25,0.625,18,1.0,0.8241,1.0
B0,4,1.9444,1.4742,1.0,1.0,4.7778,0.7321,5.0,0.0,2.2222,1.4371,2.0,1.75,2.2222,1.3528,2.0,0.75,2.7917,1.0787,2.625,0.6875,18,0.8333,0.6078,0.9416
B0,5,1.3333,0.4851,1.0,1.0,4.6111,1.1448,5.0,0.0,1.4444,0.5113,1.0,1.0,1.7222,0.6691,2.0,1.0,2.2778,0.4102,2.25,0.625,18,1.0,0.8241,1.0
B0,6,1.3333,0.4851,1.0,1.0,4.5556,1.2935,5.0,0.0,1.3889,0.5016,1.0,1.0,1.3889,0.5016,1.0,1.0,2.1667,0.4537,2.0,0.5,18,1.0,0.8241,1.0
B0,7,1.3889,0.9785,1.0,0.0,4.7778,0.9428,5.0,0.0,1.5556,1.149,1.0,0.75,1.5556,0.9835,1.0,1.0,2.3194,0.7897,2.0,0.625,18,0.9444,0.7424,0.9901
B0,8,1.6667,1.2834,1.0,1.0,4.5556,1.2935,5.0,0.0,1.8333,1.2485,1.5,1.0,1.8333,1.2485,1.5,1.0,2.4722,1.0322,2.25,0.75,18,0.8889,0.672,0.969
B0,9,1.6111,0.9785,1.0,1.0,4.2778,1.4061,5.0,0.0,1.8333,1.2485,1.5,1.0,2.2222,1.2628,2.0,0.75,2.4861,0.8765,2.25,0.6875,18,0.9444,0.7424,0.9901
B0,10,1.1667,0.3835,1.0,0.0,3.6667,1.9403,5.0,4.0,1.2778,0.5745,1.0,0.0,1.5556,0.5113,2.0,1.0,1.9167,0.6063,2.0,1.0,18,1.0,0.8241,1.0
B0,11,1.4444,0.9835,1.0,0.75,4.8333,0.7071,5.0,0.0,1.5,1.0432,1.0,0.75,1.7778,0.9428,2.0,1.0,2.3889,0.7486,2.25,0.625,18,0.9444,0.7424,0.9901
B0,12,1.2778,0.4609,1.0,0.75,5.0,0.0,5.0,0.0,1.4444,0.7048,1.0,1.0,1.6111,0.5016,2.0,1.0,2.3333,0.3536,2.25,0.625,18,1.0,0.8241,1.0
B0,13,1.4444,0.9835,1.0,0.75,4.1667,1.6179,5.0,0.0,1.4444,0.9835,1.0,0.75,1.8333,1.1504,1.5,1.0,2.2222,0.8865,2.0,0.25,18,0.9444,0.7424,0.9901
B0,14,1.3889,0.5016,1.0,1.0,4.1667,1.6179,5.0,0.0,1.3889,0.5016,1.0,1.0,1.7222,0.5745,2.0,1.0,2.1667,0.5752,2.125,0.75,18,1.0,0.8241,1.0
B0,15,1.5,0.9852,1.0,1.0,4.6667,0.9701,5.0,0.0,1.6111,1.2897,1.0,0.75,1.7778,0.9428,2.0,1.0,2.3889,0.7916,2.125,0.6875,18,0.9444,0.7424,0.9901
B0,16,1.5,0.9852,1.0,1.0,5.0,0.0,5.0,0.0,1.5,1.0432,1.0,0.75,1.7778,0.9428,2.0,1.0,2.4444,0.7151,2.25,0.6875,18,0.9444,0.7424,0.9901
B0,17,2.1111,1.4096,2.0,1.0,4.6667,0.9701,5.0,0.0,2.0,1.4552,1.5,1.0,2.7222,1.5265,2.0,2.75,2.875,1.0546,2.625,0.9375,18,0.8333,0.6078,0.9416
B0,18,1.7778,0.9428,2.0,1.0,4.3889,1.42,5.0,0.0,1.8333,1.0432,2.0,1.0,1.9444,1.11,2.0,1.0,2.4861,0.7596,2.0,0.75,18,0.9444,0.7424,0.9901
B0,19,1.4444,0.9835,1.0,0.75,5.0,0.0,5.0,0.0,1.5,0.9852,1.0,1.0,1.5556,0.9835,1.0,1.0,2.375,0.7238,2.0,0.625,18,0.9444,0.7424,0.9901
B0,20,2.0556,1.6618,1.0,1.0,5.0,0.0,5.0,0.0,2.6667,1.8471,2.0,4.0,2.2778,1.6017,2.0,1.75,3.0,1.16,2.75,0.9375,18,0.7778,0.5478,0.91
C1,1,4.2222,1.1144,5.0,1.75,5.0,0.0,5.0,0.0,4.1111,1.1827,5.0,2.0,4.6667,0.686,5.0,0.0,4.5,0.6966,5.0,1.125,18,0.2778,0.125,0.5087
C1,2,3.8333,1.4246,5.0,3.0,4.7222,0.9583,5.0,0.0,3.7778,1.629,5.0,2.75,4.0556,1.3492,5.0,2.5,4.0972,1.1509,5.0,2.1875,18,0.3889,0.203,0.6138
C1,3,3.9444,1.5519,5.0,3.0,4.7778,0.9428,5.0,0.0,4.2222,1.2154,5.0,1.75,3.9444,1.5519,5.0,3.0,4.2222,1.1469,5.0,2.0,18,0.3333,0.1628,0.5625
C1,4,4.3889,1.1448,5.0,0.75,5.0,0.0,5.0,0.0,4.4444,1.0416,5.0,0.75,4.3889,1.1448,5.0,0.75,4.5556,0.8205,5.0,0.4375,18,0.1667,0.0584,0.3922
C1,5,4.3333,1.3284,5.0,0.0,5.0,0.0,5.0,0.0,4.5,1.0432,5.0,0.0,4.5,1.1504,5.0,0.0,4.5833,0.8269,5.0,0.0,18,0.1667,0.0584,0.3922
C1,6,3.9444,1.4337,5.0,3.0,4.7778,0.9428,5.0,0.0,3.9444,1.5519,5.0,2.5,3.9444,1.4337,5.0,3.0,4.1528,1.1604,5.0,2.25,18,0.3333,0.1628,0.5625
C1,7,4.0556,1.3492,5.0,2.5,5.0,0.0,5.0,0.0,4.3333,1.029,5.0,1.0,4.1667,1.3827,5.0,2.25,4.3889,0.9084,5.0,1.4375,18,0.3333,0.1628,0.5625
C1,8,4.1667,1.3827,5.0,2.25,5.0,0.0,5.0,0.0,4.2778,1.2744,5.0,1.5,4.1667,1.3827,5.0,2.25,4.4028,0.9968,5.0,1.5,18,0.2778,0.125,0.5087
C1,9,4.2778,1.2744,5.0,0.75,4.6111,1.1448,5.0,0.0,4.4444,1.0416,5.0,0.75,4.5556,0.9218,5.0,0.0,4.4722,0.9467,5.0,0.5625,18,0.2778,0.125,0.5087
C1,10,4.0556,1.3492,5.0,2.5,4.8333,0.7071,5.0,0.0,4.0556,1.3921,5.0,1.0,3.9444,1.3921,5.0,2.75,4.2222,1.0568,5.0,1.75,18,0.2778,0.125,0.5087
C1,11,4.3889,1.195,5.0,0.0,5.0,0.0,5.0,0.0,4.5,1.0432,5.0,0.0,4.3333,1.2834,5.0,0.0,4.5556,0.8641,5.0,0.0,18,0.2222,0.09,0.4522
C1,12,4.5,1.1504,5.0,0.0,5.0,0.0,5.0,0.0,4.4444,1.2935,5.0,0.0,4.5,1.1504,5.0,0.0,4.6111,0.8962,5.0,0.0,18,0.1667,0.0584,0.3922
C1,13,4.7222,0.8264,5.0,0.0,5.0,0.0,5.0,0.0,4.6667,0.9701,5.0,0.0,4.8889,0.3234,5.0,0.0,4.8194,0.5272,5.0,0.0,18,0.1111,0.031,0.328
C1,14,3.6111,1.5005,4.5,3.0,4.7778,0.9428,5.0,0.0,3.5556,1.7226,4.5,3.0,3.5556,1.5038,4.0,3.0,3.875,1.2104,4.5,2.4375,18,0.4444,0.2456,0.6628
C1,15,4.0556,1.5894,5.0,2.25,4.7778,0.9428,5.0,0.0,4.0556,1.5894,5.0,2.25,4.0556,1.5894,5.0,2.25,4.2361,1.2876,5.0,1.6875,18,0.2778,0.125,0.5087
C1,16,4.2222,1.2628,5.0,1.0,5.0,0.0,5.0,0.0,4.0556,1.3492,5.0,2.5,4.3889,1.1448,5.0,0.75,4.4167,0.8911,5.0,0.75,18,0.2778,0.125,0.5087
C1,17,4.3889,1.1448,5.0,0.75,4.9444,0.2357,5.0,0.0,4.5,1.0432,5.0,0.0,4.8333,0.3835,5.0,0.0,4.6667,0.6359,5.0,0.375,18,0.2222,0.09,0.4522
C1,18,3.3333,1.5339,2.0,3.0,4.6111,1.1448,5.0,0.0,3.6667,1.6803,5.0,3.0,3.3333,1.5339,2.0,3.0,3.7361,1.205,3.375,2.4375,18,0.5556,0.3372,0.7544
C1,19,4.2778,1.4061,5.0,0.0,4.7778,0.9428,5.0,0.0,4.4444,1.149,5.0,0.0,4.5,1.1504,5.0,0.0,4.5,0.9315,5.0,0.1875,18,0.2222,0.09,0.4522
C1,20,4.5,0.9852,5.0,0.75,5.0,0.0,5.0,0.0,4.5,1.1504,5.0,0.0,4.6111,0.9785,5.0,0.0,4.6528,0.7676,5.0,0.1875,18,0.1111,0.031,0.328
C2,1,4.2222,1.3086,5.0,1.0,4.9444,0.2357,5.0,0.0,4.3333,1.0847,5.0,1.0,4.6667,0.686,5.0,0.0,4.5417,0.7084,5.0,0.75,18,0.2222,0.09,0.4522
C2,2,3.9444,1.4337,5.0,3.0,4.7778,0.9428,5.0,0.0,3.8333,1.6179,5.0,2.5,4.1111,1.3672,5.0,2.5,4.1667,1.144,5.0,2.125,18,0.3333,0.1628,0.5625
C2,3,4.1667,1.3827,5.0,2.25,4.7778,0.9428,5.0,0.0,4.2222,1.166,5.0,1.0,4.1111,1.3672,5.0,2.5,4.3194,1.046,5.0,1.5625,18,0.2778,0.125,0.5087
C2,4,4.3889,1.1448,5.0,0.75,4.9444,0.2357,5.0,0.0,4.3333,1.1376,5.0,1.0,4.5,1.1504,5.0,0.0,4.5417,0.8797,5.0,0.4375,18,0.1667,0.0584,0.3922
C2,5,4.5,1.0432,5.0,0.0,4.9444,0.2357,5.0,0.0,4.4444,1.0416,5.0,0.75,4.7778,0.5483,5.0,0.0,4.6667,0.6183,5.0,0.25,18,0.1111,0.031,0.328
C2,6,3.8333,1.5049,5.0,3.0,5.0,0.0,5.0,0.0,3.7778,1.6647,5.0,2.75,3.8333,1.5049,5.0,3.0,4.1111,1.1543,5.0,2.1875,18,0.3889,0.203,0.6138
C2,7,4.3333,1.2834,5.0,0.0,5.0,0.0,5.0,0.0,4.2778,1.2744,5.0,0.75,4.3333,1.2834,5.0,0.0,4.4861,0.9567,5.0,0.1875,18,0.2222,0.09,0.4522
C2,8,4.1111,1.3672,5.0,2.5,5.0,0.0,5.0,0.0,4.1111,1.4096,5.0,1.75,4.1667,1.3827,5.0,2.25,4.3472,1.0295,5.0,1.625,18,0.2778,0.125,0.5087
C2,9,4.7778,0.7321,5.0,0.0,5.0,0.0,5.0,0.0,4.7222,0.7519,5.0,0.0,4.9444,0.2357,5.0,0.0,4.8611,0.422,5.0,0.0,18,0.1111,0.031,0.328
C2,10,4.2222,1.3956,5.0,0.75,4.7778,0.9428,5.0,0.0,4.2778,1.4061,5.0,0.75,4.2222,1.3956,5.0,0.75,4.375,1.1221,5.0,0.5625,18,0.2222,0.09,0.4522
C2,11,4.5,1.1504,5.0,0.0,5.0,0.0,5.0,0.0,4.5,1.1504,5.0,0.0,4.5,1.1504,5.0,0.0,4.625,0.8628,5.0,0.0,18,0.1667,0.0584,0.3922
C2,12,4.4444,1.149,5.0,0.0,4.9444,0.2357,5.0,0.0,4.5,1.0432,5.0,0.0,4.5,1.1504,5.0,0.0,4.5972,0.8624,5.0,0.0,18,0.1667,0.0584,0.3922
C2,13,4.6111,0.9785,5.0,0.0,5.0,0.0,5.0,0.0,4.6667,0.8402,5.0,0.0,4.7778,0.7321,5.0,0.0,4.7639,0.6092,5.0,0.0,18,0.1667,0.0584,0.3922
C2,14,3.7222,1.4874,5.0,3.0,4.7778,0.9428,5.0,0.0,3.8889,1.5676,5.0,1.75,3.6111,1.6139,5.0,3.0,4.0,1.1851,5.0,2.375,18,0.4444,0.2456,0.6628
C2,15,4.4444,1.2935,5.0,0.0,5.0,0.0,5.0,0.0,4.4444,1.2935,5.0,0.0,4.4444,1.2935,5.0,0.0,4.5833,0.9701,5.0,0.0,18,0.1667,0.0584,0.3922
C2,16,4.4444,1.149,5.0,0.0,5.0,0.0,5.0,0.0,4.5556,0.9218,5.0,0.0,4.5,1.1504,5.0,0.0,4.625,0.7964,5.0,0.0,18,0.1667,0.0584,0.3922
